Title,Summary,Published_At,Text_Content
"Benign Prostatic Hyperplasia: Rapid Evidence Review.","Lower urinary tract symptoms from benign prostatic hyperplasia affect 25% of U.S. men, nearly one-half of whom have at least moderate symptoms. Sedentary lifestyle, hypertension, and diabetes mellitus increase risk of symptoms. Evaluation is focused on determining severity of symptoms and therapy to improve symptoms. Rectal examination has limited accuracy in evaluating prostate size. Transrectal ultrasonography is preferred to verify size when starting 5-alpha reductase therapy or considering surgery. Serum prostate-specific antigen testing is not recommended in routine evaluation of lower urinary tract symptoms, and shared decision-making should be used for cancer screening decisions. The International Prostate Symptom Score is the best way to track symptoms. Self-management methods, including limiting evening fluid intake, reducing caffeine and alcohol intake, toilet and bladder training, pelvic floor exercises, and mindfulness techniques, can improve symptoms. Although saw palmetto is not effective, the herbal treatments Pygeum africanum and beta-sitosterol may be effective. Primary medical treatment involves alpha blockers or phosphodiesterase-5 inhibitors. Alpha blockers offer rapid benefit and can be used for acute urinary retention. Combining alpha blockers and phosphodiesterase-5 inhibitors is not beneficial. For uncontrolled symptoms, 5-alpha reductase inhibitors should be started if the prostate volume is 30 mL or greater by ultrasonography. 5-Alpha reductase inhibitors take up to one year to be fully beneficial and are more effective when taken with alpha blockers. Only 1% of patients with lower urinary tract symptoms require surgery. Although transurethral resection of the prostate improves symptoms, many less invasive options with varying effectiveness can be considered.","2023 Jun","Benign Prostatic Hyperplasia: Rapid Evidence Review. Lower urinary tract symptoms from benign prostatic hyperplasia affect 25% of U.S. men, nearly one-half of whom have at least moderate symptoms. Sedentary lifestyle, hypertension, and diabetes mellitus increase risk of symptoms. Evaluation is focused on determining severity of symptoms and therapy to improve symptoms. Rectal examination has limited accuracy in evaluating prostate size. Transrectal ultrasonography is preferred to verify size when starting 5-alpha reductase therapy or considering surgery. Serum prostate-specific antigen testing is not recommended in routine evaluation of lower urinary tract symptoms, and shared decision-making should be used for cancer screening decisions. The International Prostate Symptom Score is the best way to track symptoms. Self-management methods, including limiting evening fluid intake, reducing caffeine and alcohol intake, toilet and bladder training, pelvic floor exercises, and mindfulness techniques, can improve symptoms. Although saw palmetto is not effective, the herbal treatments Pygeum africanum and beta-sitosterol may be effective. Primary medical treatment involves alpha blockers or phosphodiesterase-5 inhibitors. Alpha blockers offer rapid benefit and can be used for acute urinary retention. Combining alpha blockers and phosphodiesterase-5 inhibitors is not beneficial. For uncontrolled symptoms, 5-alpha reductase inhibitors should be started if the prostate volume is 30 mL or greater by ultrasonography. 5-Alpha reductase inhibitors take up to one year to be fully beneficial and are more effective when taken with alpha blockers. Only 1% of patients with lower urinary tract symptoms require surgery. Although transurethral resection of the prostate improves symptoms, many less invasive options with varying effectiveness can be considered."
"Pathophysiology of refractory overactive bladder.","Overactive bladder (OAB) is a common condition. The International Continence Society defines OAB as a symptom complex characterized by urgency with or without urge incontinence, usually with frequency and nocturia. The first-line treatment for OAB includes behavioral therapy, such as caffeine reduction, fluid intake modification, weight reduction, bladder training, and pelvic floor muscle training, as well as treatment with antimuscarinic or &#x3b2; 3 -adrenoceptor agonist medications. However, less than half of all cases achieve satisfactory outcomes following first-line treatment. Second-line therapy considered if satisfactory responses are not achieved after 8 to 12&#x2009;weeks treatment with first-line therapy include intradetrusor botulinum toxin injection, neuromodulation, and surgical treatment. Patients with refractory OAB may have more severe symptoms or underlying pathophysiologies that were not resolved by the initial medication. The pathophysiologies of refractory OAB include occult neurogenic bladder, undetected bladder outlet obstruction, urethral-related OAB, urothelial dysfunction with aging, chronic bladder ischemia, chronic bladder inflammation, central sensitization, and autonomic dysfunction. This article discusses the possible pathophysiologies of refractory OAB.","2019 Sep","Pathophysiology of refractory overactive bladder. Overactive bladder (OAB) is a common condition. The International Continence Society defines OAB as a symptom complex characterized by urgency with or without urge incontinence, usually with frequency and nocturia. The first-line treatment for OAB includes behavioral therapy, such as caffeine reduction, fluid intake modification, weight reduction, bladder training, and pelvic floor muscle training, as well as treatment with antimuscarinic or &#x3b2; 3 -adrenoceptor agonist medications. However, less than half of all cases achieve satisfactory outcomes following first-line treatment. Second-line therapy considered if satisfactory responses are not achieved after 8 to 12&#x2009;weeks treatment with first-line therapy include intradetrusor botulinum toxin injection, neuromodulation, and surgical treatment. Patients with refractory OAB may have more severe symptoms or underlying pathophysiologies that were not resolved by the initial medication. The pathophysiologies of refractory OAB include occult neurogenic bladder, undetected bladder outlet obstruction, urethral-related OAB, urothelial dysfunction with aging, chronic bladder ischemia, chronic bladder inflammation, central sensitization, and autonomic dysfunction. This article discusses the possible pathophysiologies of refractory OAB."
"Mixed Urinary Incontinence.","","2026 Jan","Mixed Urinary Incontinence."
"Total fluid intake, caffeine, and other bladder irritant avoidance among adults having urinary urgency with and without urgency incontinence: The Symptoms of Lower Urinary Tract Dysfunction Research Network (LURN).","Caffeine has long been vilified as a cause for urinary urgency incontinence (UUI) along with other potential bladder irritants such as carbonation, alcohol, and acidic juices. The objective of this study was to assess the fluid intake behavior of people with urgency, UUI, and those with lower urinary tract symptoms (LUTS) without UUI or urgency to assess if they avoided certain potential bladder irritants or had different fluid intake. We hypothesized that patients with UUI would avoid caffeine as a self-management method more so than these other two groups. Treatment-seeking men and women with LUTS in the Symptoms of Lower Urinary Tract Dysfunction Research Network (LURN) Observational Cohort study completed a baseline 3-day voiding and intake diary. ""Complete"" diaries had 3&#xa0;days of data and no missing intake or voided volumes. Beverages with any caffeine, alcohol, carbonation, or acidic juice were identified and the total volume was recorded as well as the type of beverage containing caffeine to calculate the daily caffeine dose. Four hundred and ninety-one participants (277 men and 214 women) with a median age of 63 had complete diaries. Urinary urgency was more prevalent in women than men (79% vs. 55%, p&#x2009;<&#x2009;0.0001) as was UUI (84% vs. 47%, p&#x2009;<&#x2009;0.0001). Total fluid intake over 3 days was lower among the urgency group versus the nonurgency group (median [interquartile range] 5.2 [4.0-6.8]&#x2009;L vs. 5.7 [4.3-7.0]&#x2009;L, p&#x2009;=&#x2009;0.028) and the UUI group compared to the urgency without incontinence group were less likely to consume alcohol (26% vs. 37%, p&#x2009;=&#x2009;0.04). After adjusting for sex, BMI, age, and total intake volume, UUI participants had 54% lower odds of consuming any caffeine (odds ratio&#x2009;=&#x2009;0.46, 95% confidence interval&#x2009;=&#x2009;0.22-0.96, p&#x2009;=&#x2009;0.04) than those without incontinence, but among those that did consume caffeine, no difference in the volume of caffeinated beverages or milligrams of caffeine consumed was detected between those with UUI and those with urgency without incontinence. No difference in carbonation or acidic juice intake was detected between groups. Individuals with urgency consume a lower volume of fluid than those without urgency. UUI participants more often abstain from caffeine, but among those that consume caffeine, the dose is similar to those without UUI. One explanation for these results is that only a subset of individuals with urgency or UUI are caffeine sensitive.","2023 Jan","Total fluid intake, caffeine, and other bladder irritant avoidance among adults having urinary urgency with and without urgency incontinence: The Symptoms of Lower Urinary Tract Dysfunction Research Network (LURN). Caffeine has long been vilified as a cause for urinary urgency incontinence (UUI) along with other potential bladder irritants such as carbonation, alcohol, and acidic juices. The objective of this study was to assess the fluid intake behavior of people with urgency, UUI, and those with lower urinary tract symptoms (LUTS) without UUI or urgency to assess if they avoided certain potential bladder irritants or had different fluid intake. We hypothesized that patients with UUI would avoid caffeine as a self-management method more so than these other two groups. Treatment-seeking men and women with LUTS in the Symptoms of Lower Urinary Tract Dysfunction Research Network (LURN) Observational Cohort study completed a baseline 3-day voiding and intake diary. ""Complete"" diaries had 3&#xa0;days of data and no missing intake or voided volumes. Beverages with any caffeine, alcohol, carbonation, or acidic juice were identified and the total volume was recorded as well as the type of beverage containing caffeine to calculate the daily caffeine dose. Four hundred and ninety-one participants (277 men and 214 women) with a median age of 63 had complete diaries. Urinary urgency was more prevalent in women than men (79% vs. 55%, p&#x2009;<&#x2009;0.0001) as was UUI (84% vs. 47%, p&#x2009;<&#x2009;0.0001). Total fluid intake over 3 days was lower among the urgency group versus the nonurgency group (median [interquartile range] 5.2 [4.0-6.8]&#x2009;L vs. 5.7 [4.3-7.0]&#x2009;L, p&#x2009;=&#x2009;0.028) and the UUI group compared to the urgency without incontinence group were less likely to consume alcohol (26% vs. 37%, p&#x2009;=&#x2009;0.04). After adjusting for sex, BMI, age, and total intake volume, UUI participants had 54% lower odds of consuming any caffeine (odds ratio&#x2009;=&#x2009;0.46, 95% confidence interval&#x2009;=&#x2009;0.22-0.96, p&#x2009;=&#x2009;0.04) than those without incontinence, but among those that did consume caffeine, no difference in the volume of caffeinated beverages or milligrams of caffeine consumed was detected between those with UUI and those with urgency without incontinence. No difference in carbonation or acidic juice intake was detected between groups. Individuals with urgency consume a lower volume of fluid than those without urgency. UUI participants more often abstain from caffeine, but among those that consume caffeine, the dose is similar to those without UUI. One explanation for these results is that only a subset of individuals with urgency or UUI are caffeine sensitive."
"Managing lower urinary tract symptoms in men.","Male lower urinary tract symptoms (LUTS) are common and increase in prevalence with age. Up to 90% of men aged 50 to 80 may suffer from troublesome LUTS. Men may attend expressing direct concern about micturition, describing one or more LUTS and the related impact on their quality of life. Frequently men may present for other medical or urological reasons such as concern regarding their risk of having prostate cancer or erectile dysfunction but on taking a history bothersome LUTS are identified. Men may present late in the community with urinary retention: the inability to pass urine. A thorough urological history is essential to inform management. It is important to determine whether men have storage or voiding LUTS or both. All patients must have a systematic comprehensive examination including genitalia and a digital rectal examination. Investigations performed in primary care should be guided by the history and examination findings, taking into account the impact of the LUTS on the individual's quality of life. Current NICE guidelines recommend the following to be performed at initial assessment: frequency volume chart (FVC); urine dipstick to detect blood, glucose, protein, leucocytes and nitrites; and prostate specific antigen. Men should be referred for urological review if they have: bothersome LUTS which have not responded to conservative management or medical therapy; LUTS in association with recurrent or persistent UTIs; urinary retention; renal impairment suspected to be secondary to lower urinary tract dysfunction; or suspected urological malignancy. All patients not meeting criteria for immediate referral to urology can be managed initially in primary care. Based on history, examination and investigation findings an individualised management plan should be formulated. Basic lifestyle advice should be given regarding reduction or avoidance of caffeinated products and alcohol. The FVC should guide advice regarding fluid intake management and all medications should be reviewed.","2016 Apr","Managing lower urinary tract symptoms in men. Male lower urinary tract symptoms (LUTS) are common and increase in prevalence with age. Up to 90% of men aged 50 to 80 may suffer from troublesome LUTS. Men may attend expressing direct concern about micturition, describing one or more LUTS and the related impact on their quality of life. Frequently men may present for other medical or urological reasons such as concern regarding their risk of having prostate cancer or erectile dysfunction but on taking a history bothersome LUTS are identified. Men may present late in the community with urinary retention: the inability to pass urine. A thorough urological history is essential to inform management. It is important to determine whether men have storage or voiding LUTS or both. All patients must have a systematic comprehensive examination including genitalia and a digital rectal examination. Investigations performed in primary care should be guided by the history and examination findings, taking into account the impact of the LUTS on the individual's quality of life. Current NICE guidelines recommend the following to be performed at initial assessment: frequency volume chart (FVC); urine dipstick to detect blood, glucose, protein, leucocytes and nitrites; and prostate specific antigen. Men should be referred for urological review if they have: bothersome LUTS which have not responded to conservative management or medical therapy; LUTS in association with recurrent or persistent UTIs; urinary retention; renal impairment suspected to be secondary to lower urinary tract dysfunction; or suspected urological malignancy. All patients not meeting criteria for immediate referral to urology can be managed initially in primary care. Based on history, examination and investigation findings an individualised management plan should be formulated. Basic lifestyle advice should be given regarding reduction or avoidance of caffeinated products and alcohol. The FVC should guide advice regarding fluid intake management and all medications should be reviewed."
"Combined healthy lifestyles and overactive bladder: a cross-sectional study of NHANES 2007-2020.","The relationship between adherence to a combined healthy lifestyle and the risk of overactive bladder (OAB) remains unclear. This study aimed to investigate the association between a composite healthy lifestyle score and risk of OAB in a nationally representative sample of adults. This cross-sectional study utilized data from 20,195 non-pregnant adults aged 20-79&#x202f;years in the National Health and Nutrition Examination Survey (NHANES) 2007-2020. A healthy lifestyle score was constructed based on five components: current non-smoking, low-to-moderate alcohol consumption, adequate physical activity, a healthy diet, and optimal waist circumference. OAB was defined using self-reported urinary urgency incontinence and nocturia symptoms. Weighted multivariable logistic regression models were employed to assess the association between the healthy lifestyle score and risk of OAB, adjusting for demographic, socioeconomic, and clinical covariates. Among the 20,195 participants, 3,901 (14.58%) were identified as having OAB. A higher HLS was inversely associated with risk of OAB in a dose-response manner. Compared with individuals having 0-1 healthy lifestyle factors, those with 4-5 factors had a 46% lower risk of OAB (adjusted OR: 0.54, 95% CI: 0.45-0.65). Each additional healthy lifestyle factor was associated with a 17% lower risk of OAB (OR: 0.83, 95% CI: 0.79-0.88). Sensitivity analyses confirmed the robustness of these associations. Among individual components, non-smoking, moderate alcohol intake, regular physical activity, a healthy diet, and optimal waist circumference were each independently associated with a lower risk of OAB. Adherence to a combination of healthy lifestyle behaviors was significantly associated with a lower risk of OAB. These findings emphasize the potential role of lifestyle-based interventions in OAB prevention and management. Given the rising prevalence of OAB, particularly in aging populations, incorporating lifestyle modifications into clinical and public health strategies may offer an effective, non-pharmacological approach to mitigating risk of OAB. Further longitudinal studies are warranted to establish causality and elucidate the underlying biological mechanisms.","2025","Combined healthy lifestyles and overactive bladder: a cross-sectional study of NHANES 2007-2020. The relationship between adherence to a combined healthy lifestyle and the risk of overactive bladder (OAB) remains unclear. This study aimed to investigate the association between a composite healthy lifestyle score and risk of OAB in a nationally representative sample of adults. This cross-sectional study utilized data from 20,195 non-pregnant adults aged 20-79&#x202f;years in the National Health and Nutrition Examination Survey (NHANES) 2007-2020. A healthy lifestyle score was constructed based on five components: current non-smoking, low-to-moderate alcohol consumption, adequate physical activity, a healthy diet, and optimal waist circumference. OAB was defined using self-reported urinary urgency incontinence and nocturia symptoms. Weighted multivariable logistic regression models were employed to assess the association between the healthy lifestyle score and risk of OAB, adjusting for demographic, socioeconomic, and clinical covariates. Among the 20,195 participants, 3,901 (14.58%) were identified as having OAB. A higher HLS was inversely associated with risk of OAB in a dose-response manner. Compared with individuals having 0-1 healthy lifestyle factors, those with 4-5 factors had a 46% lower risk of OAB (adjusted OR: 0.54, 95% CI: 0.45-0.65). Each additional healthy lifestyle factor was associated with a 17% lower risk of OAB (OR: 0.83, 95% CI: 0.79-0.88). Sensitivity analyses confirmed the robustness of these associations. Among individual components, non-smoking, moderate alcohol intake, regular physical activity, a healthy diet, and optimal waist circumference were each independently associated with a lower risk of OAB. Adherence to a combination of healthy lifestyle behaviors was significantly associated with a lower risk of OAB. These findings emphasize the potential role of lifestyle-based interventions in OAB prevention and management. Given the rising prevalence of OAB, particularly in aging populations, incorporating lifestyle modifications into clinical and public health strategies may offer an effective, non-pharmacological approach to mitigating risk of OAB. Further longitudinal studies are warranted to establish causality and elucidate the underlying biological mechanisms."
"Associations Between Risk Factors and Overactive Bladder: A Meta-analysis.","The purpose of this study was to investigate the risk factors of overactive bladder (OAB). The PubMed, Embase, and Cochrane Library databases were retrieved through May 2016. Odds ratios (OR) or standard mean differences (SMDs) with 95% confidence intervals (CIs) were used to evaluate the associations between risk factors and OAB. Heterogeneity among studies was examined using &#x3c7; test based on the Q and I tests. A total of 28 articles were analyzed in our study. The results suggested that age and body mass index were significantly higher in OAB patients than in non-OAB controls (SMDs [95% CIs], 0.30 [0.19-0.41] and 0.39 [0.24-0.53]). A significant negative association was found between employment status and OAB (OR [95% CIs], 0.64 [0.46-0.90]). However, sex, educational level, parity, vaginal delivery, race, menopause, marital status, smoking, and alcohol consumption were not significantly different in OAB and non-OAB control patients (ORs [95% CIs], 0.95 [0.59-1.55], 1.04 [0.82, 1.33], 0.98 [0.56-1.70], 1.66 [0.90-3.07], 0.98 [0.75-1.28], 1.84 [0.23-14.70], 0.97 [0.78-1.19], 0.91 [0.77-1.08], and 0.88 [0.71-1.09], respectively). In addition, the number of parities and vaginal deliveries in OAB patients also showed no significant differences compared with non-OAB control patients (SMDs [95% CI], 0.05 [-0.27 to 0.38] and -0.16 [0.40 to 0.09]). This meta-analysis suggests that age and body mass index are associated with increased risks of OAB, whereas employment status is associated with a decreased risk of OAB. Further prospective studies with large sample sizes are needed to confirm this conclusion.","2019 May/Jun","Associations Between Risk Factors and Overactive Bladder: A Meta-analysis. The purpose of this study was to investigate the risk factors of overactive bladder (OAB). The PubMed, Embase, and Cochrane Library databases were retrieved through May 2016. Odds ratios (OR) or standard mean differences (SMDs) with 95% confidence intervals (CIs) were used to evaluate the associations between risk factors and OAB. Heterogeneity among studies was examined using &#x3c7; test based on the Q and I tests. A total of 28 articles were analyzed in our study. The results suggested that age and body mass index were significantly higher in OAB patients than in non-OAB controls (SMDs [95% CIs], 0.30 [0.19-0.41] and 0.39 [0.24-0.53]). A significant negative association was found between employment status and OAB (OR [95% CIs], 0.64 [0.46-0.90]). However, sex, educational level, parity, vaginal delivery, race, menopause, marital status, smoking, and alcohol consumption were not significantly different in OAB and non-OAB control patients (ORs [95% CIs], 0.95 [0.59-1.55], 1.04 [0.82, 1.33], 0.98 [0.56-1.70], 1.66 [0.90-3.07], 0.98 [0.75-1.28], 1.84 [0.23-14.70], 0.97 [0.78-1.19], 0.91 [0.77-1.08], and 0.88 [0.71-1.09], respectively). In addition, the number of parities and vaginal deliveries in OAB patients also showed no significant differences compared with non-OAB control patients (SMDs [95% CI], 0.05 [-0.27 to 0.38] and -0.16 [0.40 to 0.09]). This meta-analysis suggests that age and body mass index are associated with increased risks of OAB, whereas employment status is associated with a decreased risk of OAB. Further prospective studies with large sample sizes are needed to confirm this conclusion."
"Potential Bladder Irritants and Overactive Bladder Symptoms: A Systematic Review.","Initial management for overactive bladder includes behavioral modification with avoidance of bladder irritants. However, in 2017, the International Consultation on Incontinence concluded that more research is needed to determine the precise role of these irritants in the treatment of overactive bladder. The objectives were to identify, evaluate, and summarize peer-reviewed literature examining associations between 6 potential bladder irritants as proposed by the National Institute of Diabetes and Digestive and Kidney Diseases (alcohol; spicy foods; chocolate; artificial sweeteners; caffeinated, carbonated, and citrus beverages; and high-acid foods such as citrus and tomatoes) and OAB symptoms. We performed a systematic literature search on MEDLINE, EMBASE, and SCOPUS. An adapted version of the patient-intervention-comparison-outcome framework was applied. The risk of bias was assessed using the Risk of Bias in Non-randomized Studies-of Exposures assessment tool. The study was registered in the International Prospective Register of Systematic Reviews (PROSPERO) (CRD42023466251). We reviewed 51 unique articles exploring the effect of alcohol (n = 34); spicy foods (n = 1); chocolate (n = 3); artificial sweeteners (n = 5); caffeinated, carbonated, and citrus beverages (n = 27); and high-acid foods (n = 2). The considered outcomes included overactive bladder (n = 16), urgency incontinence (n = 19), urinary urgency (n = 15), frequency (n = 17), and nocturia (n = 17). Overall, observed associations were mixed and inconsistent. The risk of bias was moderate in 23 publications and low for the remaining publications. This systematic review failed to identify consistent evidence of an association between any of these 6 potential bladder irritants and overactive bladder symptoms.","2025 Apr 1","Potential Bladder Irritants and Overactive Bladder Symptoms: A Systematic Review. Initial management for overactive bladder includes behavioral modification with avoidance of bladder irritants. However, in 2017, the International Consultation on Incontinence concluded that more research is needed to determine the precise role of these irritants in the treatment of overactive bladder. The objectives were to identify, evaluate, and summarize peer-reviewed literature examining associations between 6 potential bladder irritants as proposed by the National Institute of Diabetes and Digestive and Kidney Diseases (alcohol; spicy foods; chocolate; artificial sweeteners; caffeinated, carbonated, and citrus beverages; and high-acid foods such as citrus and tomatoes) and OAB symptoms. We performed a systematic literature search on MEDLINE, EMBASE, and SCOPUS. An adapted version of the patient-intervention-comparison-outcome framework was applied. The risk of bias was assessed using the Risk of Bias in Non-randomized Studies-of Exposures assessment tool. The study was registered in the International Prospective Register of Systematic Reviews (PROSPERO) (CRD42023466251). We reviewed 51 unique articles exploring the effect of alcohol (n = 34); spicy foods (n = 1); chocolate (n = 3); artificial sweeteners (n = 5); caffeinated, carbonated, and citrus beverages (n = 27); and high-acid foods (n = 2). The considered outcomes included overactive bladder (n = 16), urgency incontinence (n = 19), urinary urgency (n = 15), frequency (n = 17), and nocturia (n = 17). Overall, observed associations were mixed and inconsistent. The risk of bias was moderate in 23 publications and low for the remaining publications. This systematic review failed to identify consistent evidence of an association between any of these 6 potential bladder irritants and overactive bladder symptoms."
"Lower urinary tract symptoms and mental health during COVID-19 pandemic.","Coronaviruses (CoVs) are a group of RNA viruses involved in several human diseases affecting respiratory, enteric, hepatic, and neurological systems. COVID-19 was identified in 2020 and was named SARS-CoV-2. To limit worldwide contagion, many countries instituted a lockdown, which conducted to disruption of routine life. In fact, pandemic was associated with several stresses among population, such as loss of employment, deaths of family members, friends, or colleagues, financial insecurity, and isolation. This led to long-lasting psychosocial effects as anxiety and depression, increasing the prevalence of stress and traumarelated disorders in the population. The aim of this study was to investigate the correlation between lower urinary tracts symptoms (LUTS) and stress/depressive symptoms during COVID-19 pandemic. An anonymous cross-sectional webbased survey (comprehending anthropometric data, education level, occupation status, smoking and alcohol habits, current therapies, quarantine and COVID-19 infection status) was conducted from March to May 2020 in Italy. LUTS were examined through National Institute of Health-Chronic Prostatitis Symptom Index (NIH-CPSI) and Genitourinary Pain Index (GUPI). Hamilton Depression Rating Scale (HDRS) was utilized to evaluate depressive and anxiety symptoms. Non-parametric Kruskal-Wallis H Test was used for statistical analysis. A total of 356 out of 461 subjects fully completed the survey, with a response rate of 77.2%. Data showed that subjects involved in economic difficulties, quarantine measures or with increased HDRS reported a significative statistic worsened urinary symptoms (H(3) = 11.731, p = 0.008), quality of life, (H(3) = 10.301, p = 0.016), total NIH-CPSI/GUPI score (H(3) = 42.150, p = 0.000), and quality of life (H(3) = 48.638, p = 0.000). COVID-19 pandemic provoked several alterations in everyday life. Although general lockdown, quarantine and social distancing have been necessary to prevent virus spreading, this had long term effects on all population in terms of mental and physical health. NIH-CPSI and GUPI scores increased linearly with stress and anxiety levels measured at HDRS, confirming worse LUTS in subjects who suffered anxiety and stress from COVID-19 pandemic.","2022 Mar 29","Lower urinary tract symptoms and mental health during COVID-19 pandemic. Coronaviruses (CoVs) are a group of RNA viruses involved in several human diseases affecting respiratory, enteric, hepatic, and neurological systems. COVID-19 was identified in 2020 and was named SARS-CoV-2. To limit worldwide contagion, many countries instituted a lockdown, which conducted to disruption of routine life. In fact, pandemic was associated with several stresses among population, such as loss of employment, deaths of family members, friends, or colleagues, financial insecurity, and isolation. This led to long-lasting psychosocial effects as anxiety and depression, increasing the prevalence of stress and traumarelated disorders in the population. The aim of this study was to investigate the correlation between lower urinary tracts symptoms (LUTS) and stress/depressive symptoms during COVID-19 pandemic. An anonymous cross-sectional webbased survey (comprehending anthropometric data, education level, occupation status, smoking and alcohol habits, current therapies, quarantine and COVID-19 infection status) was conducted from March to May 2020 in Italy. LUTS were examined through National Institute of Health-Chronic Prostatitis Symptom Index (NIH-CPSI) and Genitourinary Pain Index (GUPI). Hamilton Depression Rating Scale (HDRS) was utilized to evaluate depressive and anxiety symptoms. Non-parametric Kruskal-Wallis H Test was used for statistical analysis. A total of 356 out of 461 subjects fully completed the survey, with a response rate of 77.2%. Data showed that subjects involved in economic difficulties, quarantine measures or with increased HDRS reported a significative statistic worsened urinary symptoms (H(3) = 11.731, p = 0.008), quality of life, (H(3) = 10.301, p = 0.016), total NIH-CPSI/GUPI score (H(3) = 42.150, p = 0.000), and quality of life (H(3) = 48.638, p = 0.000). COVID-19 pandemic provoked several alterations in everyday life. Although general lockdown, quarantine and social distancing have been necessary to prevent virus spreading, this had long term effects on all population in terms of mental and physical health. NIH-CPSI and GUPI scores increased linearly with stress and anxiety levels measured at HDRS, confirming worse LUTS in subjects who suffered anxiety and stress from COVID-19 pandemic."
"The association between wet overactive bladder and consumption of tea, coffee, and caffeine: Results from 2005-2018 National Health and Nutrition Examination Survey.","Previous studies have reported an inconsistent relationship between overactive bladder (OAB) and the consumption of tea, coffee, and caffeine. Our study aims to determine these associations in a large and nationally representative adult sample. This cross-sectional study included 15,379 participants from the 2005-2018 US National Health and Nutrition Examination Survey (NHANES) database. The outcome was the risk of wet OAB that was diagnosed when the OAB symptom score was &#x2265;3 with urgent urinary incontinence and excluded other diseases affecting diagnosis. The exposures were the consumption of tea, coffee, and caffeine. Weighted logistic regression models were established to explore these associations by calculating odds ratios (OR) and 95% confidence intervals (CI), as did restricted cubic splines (RCS) used to analyze the nonlinear associations. Of all the participants (n&#xa0;=&#xa0;15,379), 2207 had wet OAB. Mean [SE] consumption of tea, total coffee, caffeinated coffee, decaffeinated coffee, and caffeine was 233.6 [15.7] g/day, 364.3 [15.5] g/day, 301.6 [14.9] g/day, 62.7 [7.9] g/day, 175.5 [6.6] mg/day in participants with wet OAB, respectively. In the fully adjusted model, compared to those without tea consumption, the high consumption of tea (>481&#xa0;g/day) was associated with an increased risk of wet OAB (OR: 1.29; 95%CI: 1.01-1.64). Low decaffeinated coffee (0.001-177.6&#xa0;g/day) had a negative association with the risk (OR: 0.66; 95%CI: 0.49-0.90). In the RCS analysis, tea consumption showed a positive linear association with the risk of wet OAB, and decaffeinated coffee showed a nonlinear relationship with the risk and had a turning point of 78&#xa0;g/day in the U-shaped curve between 0 and 285&#xa0;g/day. Besides, total coffee, caffeinated coffee, and caffeine consumption had no significant association with the risk. Interestingly, in the high tea consumption, participants with high total coffee consumption [>527.35&#xa0;g/day, OR and 95%CI: 2.14(1.16-3.94)] and low caffeine consumption [0.1-74.0&#xa0;mg/day, OR and 95%CI: 1.50(1.03-2.17)] were positively associated with the risk of wet OAB. High tea consumption was associated with the increased risk of wet OAB, especially intake together with high total coffee and low caffeine consumption, but no significant association with the single consumption of total coffee and caffeine. Low decaffeinated coffee was associated with a decreased risk of wet OAB. It is necessary to control tea intake when managing the liquid intake of wet OAB patients.","2024 Jun","The association between wet overactive bladder and consumption of tea, coffee, and caffeine: Results from 2005-2018 National Health and Nutrition Examination Survey. Previous studies have reported an inconsistent relationship between overactive bladder (OAB) and the consumption of tea, coffee, and caffeine. Our study aims to determine these associations in a large and nationally representative adult sample. This cross-sectional study included 15,379 participants from the 2005-2018 US National Health and Nutrition Examination Survey (NHANES) database. The outcome was the risk of wet OAB that was diagnosed when the OAB symptom score was &#x2265;3 with urgent urinary incontinence and excluded other diseases affecting diagnosis. The exposures were the consumption of tea, coffee, and caffeine. Weighted logistic regression models were established to explore these associations by calculating odds ratios (OR) and 95% confidence intervals (CI), as did restricted cubic splines (RCS) used to analyze the nonlinear associations. Of all the participants (n&#xa0;=&#xa0;15,379), 2207 had wet OAB. Mean [SE] consumption of tea, total coffee, caffeinated coffee, decaffeinated coffee, and caffeine was 233.6 [15.7] g/day, 364.3 [15.5] g/day, 301.6 [14.9] g/day, 62.7 [7.9] g/day, 175.5 [6.6] mg/day in participants with wet OAB, respectively. In the fully adjusted model, compared to those without tea consumption, the high consumption of tea (>481&#xa0;g/day) was associated with an increased risk of wet OAB (OR: 1.29; 95%CI: 1.01-1.64). Low decaffeinated coffee (0.001-177.6&#xa0;g/day) had a negative association with the risk (OR: 0.66; 95%CI: 0.49-0.90). In the RCS analysis, tea consumption showed a positive linear association with the risk of wet OAB, and decaffeinated coffee showed a nonlinear relationship with the risk and had a turning point of 78&#xa0;g/day in the U-shaped curve between 0 and 285&#xa0;g/day. Besides, total coffee, caffeinated coffee, and caffeine consumption had no significant association with the risk. Interestingly, in the high tea consumption, participants with high total coffee consumption [>527.35&#xa0;g/day, OR and 95%CI: 2.14(1.16-3.94)] and low caffeine consumption [0.1-74.0&#xa0;mg/day, OR and 95%CI: 1.50(1.03-2.17)] were positively associated with the risk of wet OAB. High tea consumption was associated with the increased risk of wet OAB, especially intake together with high total coffee and low caffeine consumption, but no significant association with the single consumption of total coffee and caffeine. Low decaffeinated coffee was associated with a decreased risk of wet OAB. It is necessary to control tea intake when managing the liquid intake of wet OAB patients."
